title,audience_rating,genre,critic_rating,runtime,votes,gross,year
Gladiador,8.5,"Action, Adventure, Drama",67,155 min,1558641,"187,705,427",2000
Memento,8.4,"Mystery, Thriller",83,113 min,1284140,"25,544,867",2000
Snatch - Porcos E Diamantes,8.2,"Comedy, Crime",55,104 min,884592,"30,328,156",2000
A Vida não é um Sonho,8.3,Drama,71,102 min,872840,"3,635,482",2000
Psicopata Americano,7.6,"Crime, Drama, Horror",64,102 min,674017,"15,070,285",2000
X-Men,7.3,"Action, Adventure, Sci-Fi",64,104 min,633036,"157,299,717",2000
O Náufrago,7.8,"Adventure, Drama, Romance",73,143 min,618568,"233,632,142",2000
O Protegido,7.3,"Drama, Mystery, Sci-Fi",62,106 min,431568,"95,011,339",2000
Missão Impossível II,6.1,"Action, Adventure, Thriller",59,123 min,366407,"215,409,889",2000
Um Sogro Do Pior,7.0,"Comedy, Romance",73,108 min,346718,"166,244,045",2000
"Irmão, Onde Estás?",7.7,"Adventure, Comedy, Crime",69,107 min,323150,"45,512,588",2000
60 Segundos,6.5,"Action, Crime, Thriller",35,118 min,288473,"101,648,571",2000
Quase Famosos,7.9,"Adventure, Comedy, Drama",90,122 min,286581,"32,534,850",2000
O Patriota,7.2,"Action, Drama, History",63,165 min,286395,"113,330,342",2000
O Tigre e o Dragão,7.9,"Action, Adventure, Drama",94,120 min,277339,"128,078,872",2000
Scary Movie - Um Susto de Filme,6.2,Comedy,48,88 min,275190,"157,019,771",2000
Grinch,6.3,"Comedy, Family, Fantasy",46,104 min,271251,"260,044,825",2000
O Último Destino,6.7,"Horror, Thriller",36,98 min,269312,"53,331,147",2000
Eclipse Mortal,7.0,"Action, Horror, Sci-Fi",49,109 min,248941,"39,240,659",2000
A Praia,6.6,"Adventure, Drama, Romance",43,119 min,247994,"39,785,027",2000
Amor Cão,8.1,"Drama, Thriller",83,154 min,247788,"5,383,834",2000
"Ela, Eu E o Outro",6.6,Comedy,49,116 min,245773,"90,570,999",2000
Duelo de Titãs,7.8,"Biography, Drama, Sport",48,113 min,225290,"115,654,751",2000
Miss Detective,6.3,"Action, Comedy, Crime",43,109 min,221861,"106,807,667",2000
Pacha e o Imperador,7.4,"Animation, Adventure, Comedy",70,78 min,216669,"89,302,687",2000
O Que As Mulheres Querem,6.4,"Comedy, Fantasy, Romance",47,127 min,216392,"182,811,707",2000
Traffic - Ninguém Sai Ileso,7.6,"Crime, Drama, Thriller",86,147 min,215428,"124,115,725",2000
Erin Brockovich,7.4,"Biography, Drama",73,131 min,210858,"125,595,205",2000
A Fuga das Galinhas,7.1,"Animation, Adventure, Comedy",88,84 min,201675,"106,834,564",2000
Chocolate,7.3,"Drama, Romance",64,121 min,197600,"71,509,363",2000
Os Anjos de Charlie,5.6,"Action, Adventure, Comedy",52,98 min,192766,"125,305,545",2000
Battle Royale,7.6,"Action, Adventure, Drama",81,114 min,190105,N/A,2000
Alta Fidelidade,7.4,"Comedy, Drama, Music",79,113 min,186134,"27,287,137",2000
Road Trip - Sem Regras,6.5,Comedy,55,93 min,174646,"68,540,777",2000
The Perfect Storm - Tempestade,6.5,"Action, Adventure, Drama",59,130 min,174239,"182,618,434",2000
Disponível Para Amar,8.1,"Drama, Romance",87,98 min,159692,"2,734,044",2000
Gritos 3,5.6,"Horror, Mystery",56,116 min,157557,"89,138,076",2000
"Onde Tá o Carro, Meu?",5.5,"Comedy, Mystery, Sci-Fi",30,83 min,143579,"46,729,800",2000
Billy Elliot,7.7,"Drama, Music",74,110 min,139563,"21,995,263",2000
Gilmore Girls,8.2,"Comedy, Drama",N/A,44 min,138253,N/A,2000
A Vida é Injusta,8.2,"Comedy, Family",N/A,22 min,137980,N/A,2000
"Calma, Larry",8.8,Comedy,N/A,28 min,136885,N/A,2000
O Homem Transparente,5.8,"Action, Horror, Sci-Fi",24,112 min,135598,"73,209,340",2000
Shanghai Noon,6.6,"Action, Adventure, Comedy",77,110 min,132615,"56,937,502",2000
A Verdade Escondida,6.6,"Drama, Horror, Mystery",51,130 min,132201,"155,464,351",2000
O 6º Dia,5.9,"Action, Mystery, Sci-Fi",49,123 min,125992,"34,604,280",2000
Falsas Aparências,6.7,"Comedy, Crime",47,98 min,125331,"57,262,492",2000
Homens de Honra,7.2,"Biography, Drama",56,129 min,122201,"48,818,921",2000
Favores em Cadeia,7.2,Drama,40,123 min,122105,"33,519,628",2000
Coyote Bar,5.7,"Comedy, Drama, Music",27,100 min,118822,"60,786,269",2000
Dois Destinos,6.8,"Comedy, Drama, Fantasy",42,125 min,114956,"75,793,305",2000
Dancer in the Dark,7.9,"Crime, Drama, Musical",63,140 min,114023,"4,184,036",2000
Frequência,7.4,"Crime, Drama, Mystery",67,118 min,113094,"45,010,278",2000
"Nicky, Filho... do Diabo",5.3,"Comedy, Fantasy",38,90 min,109964,"39,464,775",2000
Sedutora Endiabrada,6.1,"Comedy, Fantasy",49,93 min,109734,"37,879,996",2000
Malèna,7.4,"Drama, Romance, War",54,108 min,108363,"3,448,233",2000
A Cela,6.4,"Crime, Horror, Sci-Fi",40,107 min,106589,"61,334,059",2000
O Caminho para El Dorado,6.9,"Animation, Adventure, Comedy",51,89 min,103248,"50,863,742",2000
Tudo por Elas,6.1,"Comedy, Romance, Sport",52,98 min,101922,"68,379,000",2000
O Agente Disfarçado,5.2,"Action, Comedy, Crime",33,99 min,88896,"117,559,438",2000
Descobrir Forrester,7.3,Drama,62,136 min,88234,"66,400,000",2000
CSI: Crime Sob Investigação,7.7,"Crime, Drama, Mystery",N/A,60 min,86753,N/A,2000
Submarino U-571,6.6,"Action, War",62,116 min,84660,"77,086,030",2000
Space Cowboys,6.5,"Action, Adventure, Thriller",73,130 min,84474,"90,464,773",2000
Terra - Campo de Batalha,2.5,"Action, Adventure, Sci-Fi",9,118 min,82011,"21,471,685",2000
Shaft,6.0,"Action, Crime, Thriller",50,99 min,79416,"70,334,258",2000
Missão a Marte,5.7,"Adventure, Sci-Fi, Thriller",34,114 min,75403,"60,883,407",2000
O Dom,6.7,"Drama, Fantasy, Horror",62,112 min,72867,"12,008,642",2000
Romeo Deve Morrer,6.1,"Action, Crime, Thriller",52,115 min,72549,"55,973,336",2000
Hera Pheri,8.1,"Action, Comedy, Crime",N/A,156 min,70397,N/A,2000
Os Substitutos,6.6,"Comedy, Sport",30,118 min,67843,"44,737,059",2000
Wonder Boys - Prodígios,7.2,"Comedy, Drama",74,107 min,65743,"19,389,454",2000
Donos de Estimação,7.4,Comedy,78,90 min,65098,"18,715,392",2000
Dinossauro,6.4,"Animation, Adventure, Drama",56,82 min,64936,"137,748,063",2000
Besta Sexy,7.3,"Crime, Drama, Thriller",79,89 min,64541,"6,946,056",2000
Os Crimes dos Rios de Púrpura,6.9,"Crime, Mystery, Thriller",49,106 min,64177,"632,548",2000
Limite Vertical,5.9,"Action, Adventure, Drama",48,124 min,63981,"69,243,859",2000
Titan A.E. - Depois da Destruição da Terra,6.6,"Animation, Action, Adventure",48,94 min,62951,"22,751,979",2000
Treze Dias,7.3,"Drama, History, Thriller",67,145 min,61277,"34,592,089",2000
Black Books,8.5,Comedy,N/A,25 min,60828,N/A,2000
O Planeta Vermelho,5.7,"Action, Sci-Fi, Thriller",34,106 min,59298,"18,000,000",2000
A Lenda de Bagger Vance,6.7,"Drama, Fantasy, Sport",47,126 min,58524,"30,695,227",2000
Prova de Vida,6.3,"Action, Drama, Thriller",45,135 min,58282,"32,598,931",2000
Táxi - Brigada Anti-Gang,6.5,"Action, Comedy, Crime",N/A,88 min,57881,"729,844",2000
Quills - As Penas do Desejo,7.2,"Biography, Drama",70,124 min,55834,"7,060,876",2000
Nove Rainhas,7.9,"Crime, Drama, Thriller",80,114 min,55411,"1,221,261",2000
Dinheiro Quente,7.0,"Crime, Drama, Thriller",63,120 min,55403,"16,938,179",2000
Sedutora Tentação,6.4,"Comedy, Drama, Romance",60,128 min,52799,"37,047,880",2000
28 Dias,6.1,"Comedy, Drama",46,103 min,52690,"37,170,488",2000
O Professor Chanfrado 2,4.4,"Comedy, Romance, Sci-Fi",38,106 min,52430,"123,309,890",2000
Tentadora maldição,6.8,"Drama, Fantasy, Horror",70,108 min,50064,"2,554",2000
Compromisso de Honra,6.4,"Drama, Thriller, War",45,128 min,49486,"61,335,230",2000
Coupling,8.6,"Comedy, Romance",N/A,30 min,46856,N/A,2000
Nunca É Tarde,6.1,"Comedy, Family, Fantasy",45,104 min,43547,"69,691,949",2000
A Sombra do Vampiro,6.9,"Drama, Horror",71,92 min,43315,"8,293,784",2000
Next Friday,6.1,Comedy,41,98 min,42885,"57,328,603",2000
Tigerland - O Teste Final,6.9,"Drama, War",55,101 min,42500,"139,692",2000
Jogo de traições,5.8,"Action, Crime, Thriller",37,104 min,41453,"23,360,779",2000
Chopper,7.1,"Biography, Crime, Drama",68,94 min,40559,"234,259",2000
Vigaristas de Bairro,6.6,"Comedy, Crime",69,94 min,39881,"17,071,230",2000
O Senhor dos Anéis - A Irmandade do Anel,8.8,"Action, Adventure, Drama",92,178 min,1940746,"315,544,750",2001
Uma Mente Brilhante,8.2,"Biography, Drama",72,135 min,961152,"170,742,341",2001
Monstros e Companhia,8.1,"Animation, Adventure, Comedy",79,92 min,946962,"289,916,256",2001
Donnie Darko,8.0,"Drama, Mystery, Sci-Fi",88,113 min,828449,"1,480,006",2001
Harry Potter e a Pedra Filosofal,7.6,"Adventure, Family, Fantasy",65,152 min,822504,"317,575,550",2001
A Viagem de Chihiro,8.6,"Animation, Adventure, Family",96,125 min,806974,"10,055,859",2001
O Fabuloso Destino de Amélie,8.3,"Comedy, Romance",69,122 min,776885,"33,225,499",2001
Shrek,7.9,"Animation, Adventure, Comedy",84,90 min,709442,"267,665,011",2001
Ocean's Eleven - Façam as Vossas Apostas,7.7,"Crime, Thriller",74,116 min,599896,"183,417,150",2001
Irmãos de Armas,9.4,"Drama, History, War",N/A,594 min,493329,N/A,2001
Dia de Treino,7.7,"Action, Crime, Drama",71,122 min,456270,"76,631,907",2001
Cercados,7.7,"Action, Drama, History",74,144 min,412368,"108,638,745",2001
Velocidade Furiosa,6.8,"Action, Crime, Thriller",58,106 min,407172,"144,533,925",2001
Os Outros,7.6,"Horror, Mystery, Thriller",74,101 min,381035,"96,522,687",2001
Mulholland Drive,7.9,"Drama, Mystery, Thriller",86,147 min,371810,"7,220,243",2001
Pearl Harbor,6.2,"Action, Drama, History",44,183 min,344509,"198,542,554",2001
O Regresso da Múmia,6.4,"Action, Adventure, Fantasy",48,130 min,338352,"202,019,785",2001
Parque Jurássico III,5.9,"Action, Adventure, Sci-Fi",42,92 min,333900,"181,171,875",2001
A.I. Inteligência Artificial,7.2,"Drama, Sci-Fi",65,146 min,317138,"78,616,689",2001
Os Tenenbaums - Uma Comédia Genial,7.6,"Comedy, Drama",76,110 min,305758,"52,364,010",2001
Moulin Rouge!,7.6,"Drama, Musical, Romance",66,127 min,293648,"57,386,607",2001
Hannibal,6.8,"Crime, Drama, Thriller",57,131 min,285565,"165,092,268",2001
Zoolander,6.5,Comedy,61,90 min,284158,"45,172,250",2001
Vanilla Sky,6.9,"Fantasy, Mystery, Romance",45,136 min,279472,"100,614,858",2001
Inimigo às Portas,7.5,"Action, Drama, War",53,131 min,271686,"51,401,758",2001
Profissão de Risco,7.5,"Biography, Crime, Drama",52,124 min,269526,"52,990,775",2001
American Pie 2 - O Ano Seguinte,6.4,Comedy,43,108 min,264878,"145,103,595",2001
Médicos e Estagiários,8.4,"Comedy, Drama",N/A,22 min,264489,N/A,2001
O Diário de Bridget Jones,6.8,"Comedy, Drama, Romance",66,97 min,254564,"71,543,427",2001
Legalmente loira,6.4,"Comedy, Romance",59,96 min,234784,"96,520,674",2001
Hora de Ponta 2,6.7,"Action, Comedy, Crime",48,90 min,232224,"226,164,286",2001
Planeta dos Macacos,5.7,"Action, Adventure, Sci-Fi",50,120 min,224843,"180,011,740",2001
Lara Croft: Tomb Raider,5.7,"Action, Adventure, Fantasy",33,100 min,215165,"131,144,183",2001
Coração de Cavaleiro,6.9,"Action, Adventure, Romance",56,132 min,195883,"56,569,702",2001
24,8.4,"Action, Crime, Drama",N/A,44 min,193080,N/A,2001
Operação Swordfish,6.5,"Action, Crime, Thriller",32,99 min,193070,"69,772,969",2001
K-Pax - Um Homem do Outro Mundo,7.4,"Drama, Mystery, Sci-Fi",49,120 min,189759,"50,338,485",2001
Scary Movie 2 - Um Susto de Filme,5.3,"Comedy, Horror",29,83 min,169347,"71,308,997",2001
Jogo de Espiões,7.0,"Action, Crime, Thriller",63,126 min,162273,"26,871",2001
"A Verdadeira História de Jack, o Estripador",6.7,"Horror, Mystery, Thriller",54,122 min,160839,"31,602,566",2001
Jay e Silent Bob Contra-Atacam,6.8,Comedy,51,104 min,158799,"30,085,147",2001
O Diário da Princesa,6.4,"Comedy, Family, Romance",52,115 min,156734,"108,248,956",2001
I Am Sam - A Força do Amor,7.6,Drama,28,132 min,153201,"40,311,852",2001
Sete Palmos de Terra,8.7,"Comedy, Drama",N/A,60 min,140732,N/A,2001
O Amor é Cego,6.0,"Comedy, Drama, Fantasy",48,114 min,140070,"70,836,296",2001
Jeepers Creepers,6.2,"Horror, Mystery",49,90 min,137277,"37,904,175",2001
Smallville,7.5,"Action, Adventure, Drama",N/A,60 min,134177,N/A,2001
Evolução,6.1,"Comedy, Sci-Fi",40,101 min,133384,"38,345,494",2001
The Score - Sem Saída,6.8,"Action, Crime, Drama",71,124 min,131755,"71,069,884",2001
Atlântida: O Continente Perdido,6.9,"Animation, Action, Adventure",52,95 min,128644,"84,052,762",2001
E a Tua Mãe Também,7.7,Drama,89,106 min,126763,"13,622,333",2001
Ghost World - Mundo Fantasma,7.3,"Comedy, Drama",90,111 min,124455,"6,217,849",2001
Spy Kids - O Filme,5.6,"Action, Adventure, Comedy",71,88 min,123325,"112,719,001",2001
Está Tudo Louco!,6.4,"Action, Adventure, Comedy",52,112 min,120505,"56,618,055",2001
The Office - A Empresa,8.5,"Comedy, Drama",N/A,30 min,119013,N/A,2001
Lagaan - Era Uma Vez na Índia,8.1,"Drama, Musical, Sport",84,224 min,117999,"70,147",2001
Feliz Acaso,6.8,"Comedy, Romance",52,90 min,117787,"50,294,317",2001
O Barbeiro,7.5,"Crime, Drama",73,116 min,112879,"7,494,849",2001
Oh Não! Outro Filme de Adolescentes,5.7,Comedy,32,89 min,111758,"38,252,284",2001
A Mexicana,6.1,"Adventure, Comedy, Drama",43,123 min,111271,"66,808,615",2001
Atrás das Linhas do Inimigo,6.4,"Action, Drama, Thriller",49,106 min,110109,"59,068,786",2001
Super Troopers,7.0,"Comedy, Crime, Mystery",48,100 min,109921,"18,488,314",2001
Ali,6.7,"Biography, Drama, Sport",65,157 min,103501,"58,203,105",2001
A Experiência,7.7,"Drama, Thriller",59,120 min,95288,"141,072",2001
Força Explosiva,5.9,"Action, Sci-Fi, Thriller",25,87 min,94545,"43,905,746",2001
A Conspiração da Aranha,6.4,"Drama, Thriller",42,104 min,93291,"74,078,174",2001
Doce Novembro,6.7,"Drama, Romance",27,119 min,93113,"25,288,103",2001
Monster's Ball - Depois do Ódio,7.1,"Drama, Romance",69,111 min,92316,"31,273,922",2001
Gosford Park,7.2,"Comedy, Drama, Mystery",90,137 min,91549,"41,308,615",2001
13 Fantasmas,5.6,"Fantasy, Horror",30,91 min,91060,"41,867,960",2001
Pela Mão do Senhor,7.2,"Crime, Drama, Thriller",64,100 min,88140,"13,103,828",2001
Kate e Leopold,6.4,"Comedy, Fantasy, Romance",44,118 min,87450,"47,121,859",2001
O Ás da Bola,7.3,"Action, Comedy, Fantasy",68,113 min,85271,"489,600",2001
Resistir-lhe é Impossível,5.3,"Comedy, Romance",33,103 min,84349,"60,400,856",2001
O Último Castelo,6.9,"Action, Drama, Thriller",43,131 min,83629,"18,208,078",2001
Final Fantasy: The Spirits Within,6.4,"Animation, Action, Adventure",49,106 min,83344,"32,131,830",2001
Dil Chahta Hai,8.1,"Comedy, Drama, Romance",N/A,183 min,74398,"300,000",2001
Não Brinques com Estranhos,6.6,"Action, Mystery, Thriller",75,97 min,73525,"21,973,182",2001
Bandidos,6.5,"Comedy, Crime, Drama",60,123 min,69932,"41,575,141",2001
O Pacto dos Lobos,7.0,"Action, Adventure, Drama",57,142 min,69404,"11,260,096",2001
Nas Costas do Diabo,7.4,"Drama, Horror, Thriller",78,106 min,69215,"754,749",2001
A Pianista,7.5,"Drama, Music",79,131 min,68687,"1,900,282",2001
Acordar para a Vida,7.7,"Animation, Drama, Fantasy",84,99 min,65954,"2,892,011",2001
O Beijo Mortal do Dragão,6.6,"Action, Crime, Thriller",58,98 min,65607,"36,845,124",2001
Ao Ritmo do Hip-Hop,6.2,"Drama, Music, Romance",53,112 min,64591,"91,057,006",2001
A Promessa,6.8,"Crime, Drama, Mystery",71,124 min,64056,"19,719,930",2001
O 'Verdadeiro' Animal,4.8,"Comedy, Sci-Fi",43,84 min,62264,"57,743,062",2001
Como Cães E Gatos,5.1,"Action, Adventure, Comedy",47,87 min,61471,"93,385,515",2001
A Nona Sessão,6.4,"Drama, Horror, Mystery",58,100 min,61376,"378,176",2001
Altamente,6.2,"Comedy, Fantasy",29,93 min,60640,"31,155,435",2001
Wet Hot American Summer,6.5,"Comedy, Romance",42,97 min,59629,"292,102",2001
Jason X,4.4,"Action, Horror, Sci-Fi",25,92 min,59365,"13,121,555",2001
Joe Dirt,6.0,"Adventure, Comedy, Drama",20,91 min,59362,"27,087,695",2001
O Par do Ano,5.7,"Comedy, Romance",44,102 min,59293,"93,607,673",2001
Koroshiya 1,7.0,"Action, Crime, Drama",55,129 min,58625,"20,285",2001
Pecado Original,6.0,"Drama, Mystery, Romance",33,116 min,58527,"16,252,765",2001
Samurai Jack,8.5,"Animation, Action, Adventure",N/A,23 min,57207,N/A,2001
Enterprise,7.5,"Action, Adventure, Drama",N/A,60 min,56861,N/A,2001
Matadoras,6.2,"Comedy, Crime, Romance",47,123 min,56766,"40,336,607",2001
"Fantasmas de Marte, de John Carpenter",4.9,"Action, Horror, Sci-Fi",35,98 min,56547,"8,434,601",2001
O Senhor dos Anéis - As Duas Torres,8.8,"Action, Adventure, Drama",87,179 min,1725856,"342,551,365",2002
Apanha-me Se Puderes,8.1,"Biography, Crime, Drama",75,141 min,1044534,"164,615,351",2002
O Pianista,8.5,"Biography, Drama, Music",85,150 min,874744,"32,572,577",2002
Homem-Aranha,7.4,"Action, Adventure, Sci-Fi",73,121 min,852155,"403,706,375",2002
Cidade de Deus,8.6,"Crime, Drama",79,130 min,780083,"7,563,397",2002
Star Wars: Episódio II - O Ataque dos Clones,6.6,"Action, Adventure, Fantasy",54,142 min,738157,"310,675,583",2002
Harry Potter e a Câmara dos Segredos,7.4,"Adventure, Family, Fantasy",63,161 min,666439,"261,988,482",2002
Relatório Minoritário,7.6,"Action, Crime, Mystery",80,145 min,570751,"132,072,926",2002
Identidade Desconhecida,7.8,"Action, Mystery, Thriller",68,119 min,563937,"121,661,683",2002
A Idade do Gelo,7.5,"Animation, Adventure, Comedy",61,81 min,502539,"176,387,405",2002
Gangs de Nova Iorque,7.5,"Crime, Drama",72,167 min,459410,"77,812,000",2002
28 Dias Depois,7.5,"Drama, Horror, Sci-Fi",73,113 min,430685,"45,064,915",2002
Homens de Negro II,6.2,"Action, Adventure, Comedy",49,88 min,392112,"190,418,803",2002
Signs - Sinais,6.8,"Drama, Mystery, Sci-Fi",59,106 min,376713,"227,966,634",2002
The Ring - O Aviso,7.1,"Horror, Mystery",57,115 min,364578,"129,128,133",2002
The Wire,9.3,"Crime, Drama, Thriller",N/A,59 min,360148,N/A,2002
Equilibrium,7.3,"Action, Drama, Sci-Fi",33,107 min,340977,"1,203,974",2002
Correio de Risco,6.8,"Action, Crime, Thriller",51,92 min,314149,"25,296,447",2002
Insónia,7.2,"Drama, Mystery, Thriller",78,118 min,309259,"67,355,513",2002
8 Mile,7.2,"Drama, Music",77,110 min,307793,"116,724,075",2002
Sala de Pânico,6.8,"Crime, Drama, Thriller",65,112 min,289362,"96,397,334",2002
Dragão Vermelho,7.2,"Crime, Drama, Thriller",60,124 min,284059,"93,149,898",2002
Resident Evil,6.6,"Action, Horror, Sci-Fi",33,100 min,281247,"40,119,709",2002
Cabine Telefónica,7.1,"Crime, Mystery, Thriller",56,81 min,279308,"46,566,212",2002
Caminho para Perdição,7.7,"Crime, Drama, Thriller",72,117 min,278297,"104,454,762",2002
Firefly,9.0,"Adventure, Drama, Sci-Fi",N/A,44 min,274826,N/A,2002
Chicago,7.2,"Comedy, Crime, Musical",81,113 min,237385,"170,687,518",2002
Blade II,6.7,"Action, Horror, Sci-Fi",52,117 min,228122,"82,348,319",2002
007 - Morre Noutro Dia,6.1,"Action, Adventure, Thriller",56,133 min,225095,"160,942,139",2002
Austin Powers em Membro Dourado,6.2,"Action, Adventure, Comedy",62,94 min,218067,"213,307,889",2002
Um amor para recordar,7.3,"Drama, Romance",35,101 min,217422,"41,281,092",2002
Lilo & Stitch,7.3,"Animation, Adventure, Comedy",74,85 min,203622,"145,794,338",2002
Inadaptado,7.7,"Comedy, Drama",83,115 min,198739,"22,245,861",2002
Era Uma Vez Um Rapaz,7.1,"Comedy, Drama, Romance",75,101 min,188714,"41,385,278",2002
Herói,7.9,"Action, Adventure, Drama",85,120 min,185364,"53,710,019",2002
XXX - Missão Radical,5.8,"Action, Adventure, Thriller",48,124 min,184063,"142,109,382",2002
A Última Hora,7.6,Drama,69,135 min,182549,"13,060,843",2002
Embriagado de Amor,7.3,"Comedy, Drama, Romance",78,95 min,172123,"17,844,216",2002
Mr. Deeds,5.8,"Comedy, Romance",24,96 min,149332,"126,293,452",2002
Fomos Soldados...,7.2,"Action, Drama, History",65,138 min,147877,"78,122,718",2002
Bowling for Columbine,8.0,"Documentary, Crime, Drama",72,120 min,147108,"21,576,018",2002
O Conde de Monte Cristo,7.7,"Action, Adventure, Drama",61,131 min,144682,"54,234,062",2002
O Rei Escorpião,5.5,"Action, Adventure, Fantasy",45,92 min,143017,"91,047,077",2002
Irreversível,7.3,"Crime, Drama, Mystery",51,97 min,142638,"753,501",2002
Reino de Fogo,6.2,"Action, Adventure, Fantasy",39,101 min,142326,"43,061,982",2002
John Q.,7.1,"Crime, Drama, Thriller",30,116 min,140095,"71,756,802",2002
Viram-se Gregos para Casar,6.6,"Comedy, Drama, Romance",62,95 min,138988,"241,438,208",2002
As Horas,7.5,"Drama, Romance",80,110 min,136077,"41,675,994",2002
As Confissões de Schmidt,7.2,Drama,85,125 min,131395,"65,016,287",2002
Câmara Indiscreta,6.8,"Drama, Thriller",64,96 min,128736,"31,597,131",2002
Infernal Affairs - Infiltrados,8.0,"Action, Crime, Drama",75,101 min,128668,"169,659",2002
A Máquina do Tempo,6.0,"Action, Adventure, Sci-Fi",42,96 min,128060,"56,684,819",2002
O Planeta do Tesouro,7.2,"Animation, Adventure, Family",60,95 min,127455,"38,176,783",2002
Top Gear,8.7,"Adventure, Comedy, Sport",N/A,60 min,123607,N/A,2002
Amor Sem Aviso,6.1,"Comedy, Romance",42,101 min,123076,"93,354,851",2002
A Soma de Todos os Medos,6.4,"Action, Drama, Thriller",45,124 min,121765,"118,907,036",2002
Scooby-Doo,5.2,"Adventure, Comedy, Family",35,89 min,120579,"153,288,182",2002
A Diva da Moda,6.2,"Comedy, Romance",45,108 min,119711,"127,223,418",2002
Naruto,8.4,"Animation, Action, Adventure",N/A,24 min,116785,N/A,2002
Fala com Ela,7.9,"Drama, Mystery, Romance",86,112 min,115644,"9,357,911",2002
Joga Como Beckham,6.7,"Comedy, Drama, Romance",66,112 min,114409,"32,543,449",2002
Van Wilder - Sempre a Abrir,6.4,"Comedy, Romance",26,92 min,113271,"21,005,329",2002
Barco Fantasma,5.6,"Horror, Mystery, Thriller",28,91 min,106068,"30,113,491",2002
Um Corpo Perfeito,5.5,"Comedy, Fantasy",29,93 min,99937,"35,081,594",2002
Jackass - The movie,6.6,"Documentary, Action, Comedy",42,85 min,99913,"64,255,312",2002
A Secretária,6.9,"Comedy, Drama, Romance",63,107 min,95638,"4,059,680",2002
Infiel,6.7,"Drama, Romance, Thriller",63,124 min,94526,"52,801,000",2002
Ali G,6.2,Comedy,46,85 min,94318,N/A,2002
Encontro em Manhattan,5.3,"Comedy, Drama, Romance",45,105 min,93922,"94,011,225",2002
Frida,7.3,"Biography, Drama, Romance",61,123 min,93265,"25,885,000",2002
Confissões de Uma Mente Perigosa,7.0,"Biography, Comedy, Crime",67,113 min,90658,"16,003,576",2002
Outra Questão de Nervos,5.9,"Comedy, Crime",37,96 min,88267,"32,122,249",2002
Vestido a Rigor,5.4,"Action, Comedy, Sci-Fi",30,98 min,86869,"50,547,998",2002
Solaris,6.2,"Drama, Mystery, Romance",65,99 min,84982,"14,973,382",2002
The Shield,8.7,"Crime, Drama, Thriller",N/A,47 min,84872,N/A,2002
A Profecia das Sombras,6.4,"Drama, Horror, Mystery",52,119 min,83046,"35,746,370",2002
Star Trek: Nemesis,6.4,"Action, Adventure, Sci-Fi",51,116 min,82381,"43,254,409",2002
Spirit - Espírito Selvagem,7.2,"Animation, Adventure, Drama",52,83 min,81861,"73,280,117",2002
A Cabana do Medo,5.6,Horror,56,93 min,81436,"21,158,188",2002
Monk,8.1,"Comedy, Crime, Drama",N/A,44 min,80029,N/A,2002
Danos Colaterais,5.5,"Action, Drama, Thriller",33,108 min,76990,"40,077,257",2002
40 Dias e 40 Noites,5.6,"Comedy, Romance",53,96 min,74978,"37,950,822",2002
Manobra Perigosa,6.5,"Drama, Thriller",69,98 min,73507,"66,818,548",2002
Em Nome da Vingança,7.5,"Crime, Drama, Thriller",56,129 min,72947,"45,289",2002
Códigos de Guerra,6.1,"Action, Drama, War",51,134 min,71919,"40,914,068",2002
Spy Kids 2: A Ilha dos Sonhos Perdidos,5.3,"Action, Adventure, Comedy",66,100 min,71297,"85,846,429",2002
Cubo 2: Hipercubo,5.5,"Horror, Mystery, Sci-Fi",N/A,94 min,69138,N/A,2002
K-19: O Fazedor de Viúvas,6.7,"Drama, History, Thriller",58,138 min,65855,"35,168,966",2002
Showtime,5.5,"Action, Comedy, Crime",32,95 min,64401,"38,082,712",2002
Lobos Assassinos,6.8,"Action, Horror, Thriller",N/A,105 min,63725,N/A,2002
Simone,6.1,"Comedy, Drama, Sci-Fi",49,117 min,61804,"9,680,913",2002
Santa Cláusula - Sarilhos no Natal,5.7,"Comedy, Family, Fantasy",48,104 min,61266,"139,236,327",2002
A Coisa Mais Doce,5.2,"Comedy, Romance",32,84 min,61067,"24,718,164",2002
O Reino dos Gatos,7.1,"Animation, Adventure, Comedy",70,75 min,60980,N/A,2002
Crimes Calculados,6.1,"Crime, Mystery, Thriller",50,115 min,60610,"31,945,749",2002
CSI: Miami,6.4,"Action, Crime, Drama",N/A,43 min,59745,N/A,2002
Arac Attack - Tarados de Oito Patas,5.5,"Action, Adventure, Comedy",53,99 min,59211,"17,322,606",2002
A Rainha dos Malditos,5.2,"Drama, Fantasy, Horror",30,101 min,58512,"30,336,800",2002
O Pequeno Stuart Little 2,5.5,"Animation, Adventure, Comedy",66,77 min,57044,"64,956,806",2002
Astérix e Obélix: Missão Cleópatra,6.7,"Adventure, Comedy, Family",N/A,107 min,56225,"3,115,188",2002
O Senhor dos Anéis - O Regresso do Rei,9.0,"Action, Adventure, Drama",94,201 min,1912550,"377,845,905",2003
Piratas das Caraíbas - A Maldição do Pérola Negra,8.1,"Action, Adventure, Fantasy",63,143 min,1171220,"305,413,918",2003
Kill Bill - A Vingança (vol. 1),8.2,"Action, Crime, Thriller",69,111 min,1156236,"70,099,045",2003
À Procura de Nemo,8.2,"Animation, Adventure, Comedy",90,100 min,1081184,"380,843,261",2003
