title,audience_rating,genre,critic_rating,runtime,votes,gross,year
"Crónicas de França do Liberty, Kansas Evening Sun",7.1,"Comedy, Drama, Romance",74,107 min,140782,N/A,2021
O Culpado,6.3,"Crime, Drama, Thriller",63,90 min,139609,N/A,2021
Licorice Pizza,7.1,"Comedy, Drama, Romance",90,133 min,131830,N/A,2021
E Se...?,7.4,"Animation, Action, Adventure",N/A,32 min,129680,N/A,2021
The Conjuring 3 - A Obra do Diabo,6.3,"Horror, Mystery, Thriller",53,112 min,129179,"65,631,050",2021
Midnight Mass,7.7,"Drama, Fantasy, Horror",N/A,450 min,127432,N/A,2021
Homicídios ao Domicílio,8.1,"Comedy, Crime, Drama",N/A,30 min,126264,N/A,2021
Shershaah,8.3,"Action, Biography, Drama",N/A,135 min,126251,N/A,2021
King Richard: Para Além do Jogo,7.5,"Biography, Drama, Sport",76,144 min,126245,N/A,2021
Lupin,7.5,"Action, Crime, Drama",N/A,45 min,121880,N/A,2021
Dhindora,8.8,"Comedy, Drama",N/A,25 min,120571,N/A,2021
Os Mitchell Contra as Máquinas,7.6,"Animation, Adventure, Comedy",81,114 min,120033,N/A,2021
Indesculpável,7.1,"Crime, Drama",41,112 min,115358,N/A,2021
"tick, tick... BOOM!",7.5,"Biography, Comedy, Drama",74,120 min,114436,N/A,2021
As Pequenas Coisas,6.3,"Crime, Drama, Mystery",54,128 min,114267,N/A,2021
A Roda do Tempo,7.1,"Action, Adventure, Drama",N/A,60 min,113658,N/A,2021
A Lenda do Cavaleiro Verde,6.6,"Adventure, Drama, Fantasy",85,130 min,110181,N/A,2021
Shadow and Bone,7.6,"Action, Adventure, Drama",N/A,60 min,108273,N/A,2021
O Guarda-Costas e a Mulher do Assassino,6.1,"Action, Comedy, Crime",32,100 min,102318,N/A,2021
Maligno,6.2,"Crime, Horror, Mystery",51,111 min,101421,"13,391,791",2021
1883,8.7,"Drama, Western",N/A,60 min,101044,N/A,2021
Dexter: New Blood,8.1,"Crime, Drama, Mystery",N/A,529 min,95531,N/A,2021
Halloween Mata,5.5,"Action, Horror, Thriller",42,105 min,92989,"92,002,155",2021
Maid,8.4,Drama,N/A,545 min,92928,N/A,2021
Finch,6.9,"Adventure, Drama, Sci-Fi",57,115 min,91235,N/A,2021
West Side Story,7.2,"Crime, Drama, Musical",85,156 min,90520,N/A,2021
Rua do Medo - Parte 1: 1994,6.2,"Drama, Horror, Mystery",67,107 min,88791,N/A,2021
Judas e o Messias Negro,7.4,"Biography, Drama, History",85,126 min,87400,N/A,2021
A Pior Pessoa do Mundo,7.8,"Comedy, Drama, Romance",90,128 min,84808,N/A,2021
Exército de Ladrões,6.4,"Action, Comedy, Crime",49,127 min,84340,N/A,2021
 Ataque dos Titãs,9.9,"Animation, Action, Adventure",N/A,24 min,83887,N/A,2021
Pig - A Viagem de Rob,6.9,"Drama, Mystery",82,92 min,83538,N/A,2021
Belfast,7.3,"Biography, Drama, Romance",75,98 min,83032,N/A,2021
Pushpa: The Rise - Part 1,7.6,"Action, Crime, Drama",N/A,179 min,82152,N/A,2021
A Mulher à Janela,5.7,"Crime, Drama, Mystery",41,100 min,80056,N/A,2021
Farha,8.1,Drama,N/A,92 min,79909,N/A,2021
Master,7.3,"Action, Crime, Thriller",N/A,179 min,79842,N/A,2021
A Grande Escavação,7.1,"Biography, Drama, History",73,112 min,79623,N/A,2021
Cantar! 2,7.4,"Animation, Adventure, Comedy",49,110 min,78714,"162,790,990",2021
Sooryavanshi,6.1,"Action, Crime, Thriller",N/A,145 min,78229,N/A,2021
